matricule,date,quantite,fournisseur,typePaiement,note,station,anomaly1
230,2023-06-01,78.09,0,1407018303,3,29,1
230,2023-06-03,86.65,0,1407018303,3,122,1
230,2023-06-06,69.02,0,1407018303,3,29,1
230,2023-06-10,77.08,0,1407018303,3,108,1
230,2023-06-14,83.12,0,1407018303,3,29,1
230,2023-06-19,73.55,0,1407018303,3,13,1
230,2023-06-20,50.38,0,1407018303,3,108,-1
230,2023-06-20,70.03,0,1407018303,3,118,1
230,2023-06-22,71.54,0,1407018303,3,45,1
230,2023-06-23,81.11,0,1407018303,3,10,1
230,2023-07-04,73.05,0,1407018303,3,29,1
230,2023-07-06,76.57,0,1407018303,3,87,1
230,2023-07-08,57.93,0,1407018303,3,87,1
230,2023-07-11,70.53,0,1407018303,3,84,1
230,2023-07-13,79.09,0,1407018303,3,29,1
230,2023-07-20,73.05,0,1407018303,3,106,1
230,2023-07-17,67.25,0,1407018303,3,29,1
230,2023-07-21,68.06,0,1407018303,3,29,1
230,2023-07-27,70.53,0,1407018303,3,29,1
230,2023-07-31,73.95,0,1407018303,3,84,1
230,2023-08-01,59.45,0,1407018303,3,59,1
230,2023-08-02,40.3,0,1407018303,3,108,-1
230,2023-08-02,57.93,0,1407018303,3,5,1
230,2023-08-04,73.05,0,1407018303,3,29,1
230,2023-08-10,77.08,0,1407018303,3,87,1
230,2023-08-17,90.68,0,1407018303,3,87,-1
230,2023-08-22,81.86,0,1407018303,3,65,1
230,2023-08-24,47.86,0,1407018303,3,108,-1
230,2023-08-25,79.6,0,1407018303,3,23,1
230,2023-08-31,80.6,0,1407018303,3,44,1
230,2023-09-04,68.01,0,1407018303,3,109,1
230,2023-09-07,75.57,0,1407018303,3,87,1
230,2023-09-13,65.49,0,1407018303,3,76,1
230,2023-09-14,72.04,0,1407018303,3,29,1
230,2023-09-15,65.49,0,1407018303,3,118,1
230,2023-09-19,65.49,0,1407018303,3,58,1
230,2023-09-21,75.57,0,1407018303,3,123,1
230,2023-09-25,53.9,0,1407018303,3,13,-1
230,2023-09-26,60.45,0,1407018303,3,73,1
230,2023-09-29,47.86,0,1407018303,3,108,-1
230,2023-09-29,60.45,0,1407018303,3,29,1
230,2023-10-03,71.54,0,1407018303,3,122,1
230,2023-10-05,86.65,0,1407018303,3,76,1
230,2023-10-06,63.48,0,1407018303,3,29,1
230,2023-10-10,88.16,0,1407018303,3,25,-1
230,2023-10-11,36.78,0,1407018303,3,29,-1
230,2023-10-12,75.57,0,1407018303,3,118,1
230,2023-10-17,76.07,0,1407018303,3,13,1
230,2023-10-18,56.42,0,1407018303,3,108,1
230,2023-10-19,99.24,0,1407018303,3,29,-1
230,2023-10-23,74.06,0,1407018303,3,76,1
230,2023-10-26,71.79,0,1407018303,3,13,1
230,2024-01-11,133.5,0,1407018303,3,122,-1
230,2024-01-16,151.13,0,1407018303,3,118,-1
230,2024-01-19,176.42,0,1407018303,3,29,-1
230,2024-01-25,125.94,0,1407018303,3,108,-1
230,2024-01-29,176.32,0,1407018303,3,59,1
230,2024-02-01,177.83,0,1407018303,3,29,-1
230,2024-02-07,169.42,0,1407018303,3,4,-1
230,2024-02-12,181.36,0,1407018303,3,121,-1
230,2024-02-20,176.32,0,1407018303,3,13,1
230,2024-02-24,176.32,0,1407018303,3,29,1
230,2024-02-27,168.77,0,1407018303,3,4,-1
230,2024-03-04,176.32,0,1407018303,3,13,1
230,2024-03-08,176.32,0,1407018303,3,13,1
